fold,Manufacturer,n,n_pos,roc_auc,roc_auc_lo,roc_auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,accuracy,sensitivity,specificity,ppv,npv
0,GE,3579,2001,0.5065745010891259,0.48743010943814813,0.5259177473058656,0.566082148436301,0.5440097096318347,0.5898993645247751,0.513271863649064,0.5302348825587206,0.4917617237008872,0.5695115405260333,0.4522144522144522
0,Philips,26,0,,,,,,,,,,,
0,Siemens,59,22,0.3857493857493857,0.25185021376971845,0.5357317927170868,0.3059236102599296,0.2088570679876606,0.4522117135746165,0.423728813559322,0.45454545454545453,0.40540540540540543,0.3125,0.5555555555555556
1,GE,3579,2001,0.49525601584505596,0.47651978190675004,0.5144479132682411,0.5567264531160586,0.5352541825262036,0.5817920039391687,0.49762503492595694,0.5022488755622189,0.4917617237008872,0.5561704482567792,0.43792325056433407
1,Philips,26,0,,,,,,,,,,,
1,Siemens,59,22,0.38206388206388203,0.23717296511627908,0.5321446078431372,0.30851080777545514,0.21233797400637955,0.4693864549880695,0.4576271186440678,0.5,0.43243243243243246,0.34375,0.5925925925925926
2,GE,3579,2001,0.5011217458444415,0.4811671748309579,0.5201453178333453,0.5574775254493026,0.535787243495934,0.5809109289626743,0.5015367421067337,0.5247376311844077,0.4721166032953105,0.5576208178438662,0.4392688679245283
2,Philips,26,0,,,,,,,,,,,
2,Siemens,59,22,0.5773955773955773,0.423069105691057,0.7306786510590858,0.48765327225236543,0.3207254202831283,0.7015283248738959,0.5254237288135594,0.6363636363636364,0.4594594594594595,0.4117647058823529,0.68
3,GE,3579,2001,0.49951022587565536,0.47996708485153566,0.5179131117202319,0.5616559665657523,0.5409095543838726,0.5866355311000695,0.5071248952221291,0.5977011494252874,0.39226869455006336,0.5549883990719258,0.43469101123595505
3,Philips,26,0,,,,,,,,,,,
3,Siemens,59,22,0.5442260442260443,0.3845131255657571,0.6944444444444444,0.46515304552897485,0.303414530960142,0.6844648351608884,0.4745762711864407,0.5454545454545454,0.43243243243243246,0.36363636363636365,0.6153846153846154
4,GE,3579,2001,0.5008573026541229,0.4813894699756456,0.5195001903128724,0.563383308174962,0.5416759129032119,0.5868478005053944,0.5110366024029058,0.5627186406796602,0.44550063371356147,0.5627186406796602,0.44550063371356147
4,Philips,26,0,,,,,,,,,,,
4,Siemens,59,22,0.46314496314496306,0.31198677588279644,0.6145053606237815,0.3392301359733085,0.23067598424708022,0.509867562091789,0.4915254237288136,0.6363636363636364,0.40540540540540543,0.3888888888888889,0.6521739130434783
